Open_time,Open,High,Low,Close,Volume,Close_time,Quote_asset_volume,Number_of_trades,Taker_buy_base_asset_volume,Taker_buy_quote_asset_volume
2024-11-23 08:00:00,3341.34,3497.51,3335.16,3460.33,334804.4245,2024-11-23 15:59:59.999,1143948614.916326,2767913,180844.7392,617973869.021475
2024-11-23 16:00:00,3460.34,3470.22,3377.0,3393.91,213508.4899,2024-11-23 23:59:59.999,728539396.306252,2204025,103061.9875,351721463.580397
2024-11-24 00:00:00,3393.91,3450.0,3389.03,3422.51,113090.6083,2024-11-24 07:59:59.999,386831884.108483,1301921,58453.5497,199949078.342352
2024-11-24 08:00:00,3422.51,3428.35,3281.4,3294.39,247307.4755,2024-11-24 15:59:59.999,826025079.850829,2897218,110639.1511,369438059.234624
2024-11-24 16:00:00,3294.39,3372.22,3287.19,3361.2,118700.0083,2024-11-24 23:59:59.999,395385814.32356,1720119,60042.9468,200046227.928785
2024-11-25 00:00:00,3361.21,3419.81,3300.01,3399.41,129381.7118,2024-11-25 07:59:59.999,435039289.20896,1998630,66030.8688,222130084.814789
2024-11-25 08:00:00,3399.4,3537.98,3348.72,3518.41,459415.854,2024-11-25 15:59:59.999,1590741633.213019,4335491,233390.9367,808602379.681729
2024-11-25 16:00:00,3518.41,3546.66,3363.62,3414.49,360532.8042,2024-11-25 23:59:59.999,1247139887.635332,3542735,174122.1344,602731509.150008
2024-11-26 00:00:00,3414.49,3462.49,3382.35,3394.8,171674.961,2024-11-26 07:59:59.999,588721413.913733,1768841,94469.748,324034967.073019
2024-11-26 08:00:00,3394.8,3397.33,3280.1,3296.32,291283.0681,2024-11-26 15:59:59.999,971228441.476115,3218355,136608.9946,455666015.427097
2024-11-26 16:00:00,3296.33,3344.31,3252.0,3324.73,209409.1212,2024-11-26 23:59:59.999,692669446.574426,2282409,89570.6714,296317620.976044
2024-11-27 00:00:00,3324.74,3445.73,3302.4,3424.11,210214.9129,2024-11-27 07:59:59.999,711735415.459926,1809532,118798.7317,402232198.731987
2024-11-27 08:00:00,3424.12,3573.17,3402.43,3552.79,289727.1848,2024-11-27 15:59:59.999,1009914522.318845,2243040,168424.7164,587207972.236913
2024-11-27 16:00:00,3552.79,3684.92,3533.83,3653.28,254631.5508,2024-11-27 23:59:59.999,918373151.982164,2339601,135553.6004,489091000.127191
2024-11-28 00:00:00,3653.27,3661.92,3564.75,3592.4,184331.7102,2024-11-28 07:59:59.999,665477507.316224,1547305,90884.7464,328112655.261746
2024-11-28 08:00:00,3592.4,3642.19,3536.95,3541.78,240172.7057,2024-11-28 15:59:59.999,862028359.406271,2524062,119430.326,428859174.012538
2024-11-28 16:00:00,3541.78,3599.2,3529.76,3578.79,136472.0091,2024-11-28 23:59:59.999,486746682.979527,1321894,71301.0721,254335414.850518
2024-11-29 00:00:00,3578.8,3602.85,3534.28,3544.49,141057.6343,2024-11-29 07:59:59.999,503422108.833474,1354609,67009.0664,239117657.701839
2024-11-29 08:00:00,3544.5,3647.98,3544.49,3613.95,169608.6903,2024-11-29 15:59:59.999,610373517.169169,1578596,95874.191,345074163.892452
2024-11-29 16:00:00,3613.95,3620.08,3559.24,3592.21,114826.9203,2024-11-29 23:59:59.999,412203495.816996,1307099,58028.6185,208346001.912359
2024-11-30 00:00:00,3592.22,3726.71,3568.4,3703.07,221006.1896,2024-11-30 07:59:59.999,808576803.958054,2061801,121828.1866,445898093.245096
2024-11-30 08:00:00,3703.06,3718.0,3631.23,3674.0,154173.8679,2024-11-30 15:59:59.999,566408158.311491,1396763,80707.6885,296615142.513959
2024-11-30 16:00:00,3674.0,3738.98,3656.23,3703.6,128504.691,2024-11-30 23:59:59.999,474698108.027805,1183285,64464.7018,238276391.600522
2024-12-01 00:00:00,3703.59,3732.34,3659.2,3702.31,133331.1155,2024-12-01 07:59:59.999,492963873.3635,1347203,66014.2424,244152380.561112
2024-12-01 08:00:00,3702.32,3746.8,3675.47,3728.59,161175.5246,2024-12-01 15:59:59.999,597169048.091681,1220094,80575.5536,298559873.671841
2024-12-01 16:00:00,3728.59,3744.11,3679.0,3707.61,134582.6232,2024-12-01 23:59:59.999,499717192.570734,1100613,65439.6048,243061774.779902
2024-12-02 00:00:00,3707.61,3760.0,3650.0,3666.88,236396.0866,2024-12-02 07:59:59.999,874453693.663078,1976032,118756.7276,439520211.262467
2024-12-02 08:00:00,3666.88,3680.37,3569.58,3672.13,312217.7666,2024-12-02 15:59:59.999,1129510190.534356,2802078,157874.6741,571243776.170568
2024-12-02 16:00:00,3672.13,3682.01,3554.32,3643.42,188516.7158,2024-12-02 23:59:59.999,681321707.647931,2047738,91897.9453,332221992.14771
2024-12-03 00:00:00,3643.43,3670.0,3600.0,3616.85,159782.1563,2024-12-03 07:59:59.999,581267367.48607,1422895,87601.2975,318779207.080746
2024-12-03 08:00:00,3616.85,3635.14,3500.0,3571.79,350087.0591,2024-12-03 15:59:59.999,1253980935.467373,2254678,196077.4562,703038085.382814
2024-12-03 16:00:00,3571.8,3634.81,3538.55,3614.51,168530.9878,2024-12-03 23:59:59.999,604621536.075578,1522834,92947.1763,333513036.481477
2024-12-04 00:00:00,3614.51,3721.73,3614.51,3714.99,251835.3195,2024-12-04 07:59:59.999,924958191.287798,1799450,136416.868,501070102.429696
2024-12-04 08:00:00,3715.0,3853.38,3690.0,3821.0,381908.7693,2024-12-04 15:59:59.999,1433381248.936026,2921796,213621.3268,801795043.645217
2024-12-04 16:00:00,3820.99,3887.24,3732.98,3837.8,334999.9511,2024-12-04 23:59:59.999,1280568009.327937,3501476,166475.4367,636562412.529827
2024-12-05 00:00:00,3837.8,3905.0,3765.71,3850.98,329214.5469,2024-12-05 07:59:59.999,1264920689.379324,3180043,159598.0262,613576592.106117
